id,hostname,model,exist in CA Spectrum
37614307317719329,marrio-bohbmmi2sg-3213379.pipngw.mci.com,891,True
37744343886113189,SANONP01.marriott.com,C899G-LTE-NA-K9,True
38001429779720414,DELWIS48.Marriott.com,cat296024TCS,False
38007403752997680,SYXBRSW02-9#3F,J9626A,False
38297494175322597,DXBGL60,"HP J9148A 2910al-48G-PoE Switch, revision W.15.14.",False
38409585838437098,CHIJW-SW174-10-IDF1072,J9729A,False
38846386680734400,HKTNBS02,"HP J9781A 2530-48 Switch, revision YA.16.10.0016, ",False
38856345209446523,unknown,,False
39049157331250484,unknown,,False
39057841854615283,LBBRWS01,"HP J9782A 2530-24 Switch, revision YB.16.10.0016, ",False
39448386077844681,SUXMCS04,"HP J9782A 2530-24 Switch, revision YB.16.10.0016, ",False
39651663773906631,CANSMP01.marriott.com,891,True
40137939251197796,ADDERS02,"HP J9728A 2920-48G Switch, revision WB.16.10.0016,",False
40180696740076795,unknown,,False
40218039493011176,HUZBRP01.marriott.com,891,True
40281502191635626,CHIACS02,"HP J9782A 2530-24 Switch, revision YB.16.10.0016, ",False
40534909840374832,YEGWISW01-5-IDF6,Aruba-JL261A,False
40989855433638908,unknown,,False
41032542391650385,PYXBRP01.marriott.com,C899G-LTE-NA-K9,True
41087861251343807,unknown,,False
41257654124019449,HUZCYSW134-01,J9776A,False
41434726094821838,YXEDSSW02-P2-MDF,J9772A,False
41957009294593241,unknown,,False
42313633396065717,BUSSISW01-02-2010,J9774A,False
43288604750238490,unknown,,False
43823694828606145,NNGLCSW02-68-IDF,J9773A,False
43942321472535553,unknown,,False
44411720405751228,HOUACS01,"HP J9782A 2530-24 Switch, revision YB.16.10.0016, ",False
45805353092505635,HFEFPS45,S3100V252TP,False
45857204941533135,unknown,,False
46634897081505348,BJSDOS41,"ProCurve j9020a Switch 2510-48, revision U.11.66, ",False
46683944740457227,SDFLES01,"HP J4813A ProCurve Switch 2524, revision F.05.80, ",False
47136241700655990,unknown,,False
47177901131352089,JHMRZS64,"HP J9728A 2920-48G Switch, revision WB.16.10.0016,",False
47370296200839228,DXBAKS23.Marriott.com,C2960X,False
48361408914992913,CHIWHSW01-07-IDF,"HP J9772A 2530-48G-PoEP Switch, revision YA.16.10.",False
