id,hostname,model,exist in Netmri
0x13301ab,CHIFOP01.marriott.com,Rtr_Cisco,False
0x12241be,SNA60FWA01,CheckpointFirewall,False
0x12241bf,SNA60FWA02,CheckpointFirewall,False
0x11f4180,FLLTXP01,GnSNMPDev,False
0x1308190,TYSKNP01.marriott.com,Rtr_Cisco,False
0x11fc1ba,STSRIP01.marriott.com,GnSNMPDev,False
0x11e41b9,FTCLVP01.marriott.com,GnSNMPDev,False
0x11841b0,IAD13PRDR01,GnSNMPDev,False
0x11841b1,IAD13PRDR02,GnSNMPDev,False
0x11dc1b7,ATLGMP01.marriott.com,GnSNMPDev,False
0x12c4186,ACYFAP01.marriott.com,Rtr_Cisco,False
0x131019d,CHIDOP01.marriott.com,Rtr_Cisco,False
0x102c1ae,hdqiminfini01.marriott.com,GnSNMPDev,False
0x102c1ad,HKTJWS03.Marriott.com,HPProCurve,False
0x12dc19b,HQMXRP01.marriott.com,Rtr_Cisco,False
0x120c197,CANSMP01.marriott.com,Rtr_Cisco,True
0x11bc1a6,VSAFIP01.marriott.com,GnSNMPDev,False
0x11d81a0,MIACSP01.marriott.com,GnSNMPDev,False
0x11bc1a5,VSACYP01.marriott.com,GnSNMPDev,False
0x12b8195,LHRRIP01.marriott.com,Rtr_Cisco,False
0x11d81d9,DARFPP01.marriott.com,Rtr_Cisco,False
0x120c1e5,FUOSIP01,Rtr_Cisco,False
0x13141fc,INDCVP01.marriott.com,Rtr_Cisco,False
0x102c1cf,hdqiminfini02.marriott.com,GnSNMPDev,False
0x13281fc,OGGWOP01.marriott.com,GnSNMPDev,False
0x13101e0,AVLFMP01.marriott.com,Rtr_Cisco,False
0x102c1d3,SIG06063,Host_Device,False
0x102c1d0,hdqiminfini03.marriott.com,GnSNMPDev,False
0x12dc1ff,KUL61P01.marriott.com,Rtr_Cisco,False
0x101c1d4,HDQNCNSC7K01-ADM-01,CiscoNXOS,False
0x12041f6,YYZTCP01,Rtr_Cisco,True
0x12041f7,YYZRZP01.marriott.com,Rtr_Cisco,False
0x102c1db,hdqncnpmsql6.mihdq.marrcorp.marriott.com,Host_Compaq,False
0x102c1d8,HDQNCNCMP2.mihdq.marrcorp.marriott.com,Host_Compaq,False
